source_id,provider,product,variable,init_time,valid_time,lead_hours,member,local_path,downloaded_at,url,cycle,forecast_type,pressure_levels_hpa,domain,grid,format,byte_size,sha256,validation_status
tigge-ncmrwf-20190715-00-pressure-pf,NCMRWF via ECMWF TIGGE,TIGGE pressure-level perturbed ensemble,"u,v,q,gh",2019-07-15T00:00:00Z,2019-07-15T12:00:00Z/2019-07-25T00:00:00Z,12:12:240,pf01-pf11,data/raw/forecasts/tigge/ncmrwf/2019/07/15/00/tigge_ncmrwf_20190715_00_pressure_pf_m01-m11_f012-f240_12h_uvqgh_p500-p850.grib2,2026-09-01T00:29:22+05:30,https://ecds.ecmwf.int/datasets/tigge-forecasts,00:00,perturbed,500|850,N37.92|S5.04|W65.16|E99.90,regular_ll_194x275_0.18x0.12deg,GRIB2,282008320,5554A16C0F59C975084A7B467F625B32C5EE896C343C4B610F0995EF30D8F2CD,verified
tigge-ncmrwf-20190715-12-pressure-pf,NCMRWF via ECMWF TIGGE,TIGGE pressure-level perturbed ensemble,"u,v,q,gh",2019-07-15T12:00:00Z,2019-07-16T00:00:00Z/2019-07-25T12:00:00Z,12:12:240,pf01-pf11,data/raw/forecasts/tigge/ncmrwf/2019/07/15/12/tigge_ncmrwf_20190715_12_pressure_pf_m01-m11_f012-f240_12h_uvqgh_p500-p850.grib2,2026-09-01T00:29:22+05:30,https://ecds.ecmwf.int/datasets/tigge-forecasts,12:00,perturbed,500|850,N37.92|S5.04|W65.16|E99.90,regular_ll_194x275_0.18x0.12deg,GRIB2,282008320,74C31C0A7CB934990718004C63334AC2C983A2C53A1E1F0AB1DF11184F8056F0,verified
